holiday,temp,clouds_all,weather_main,traffic_volume,hour,Weekday
no,290.89,0,Clear,433,3,4
no,291.35,90,Mist,5266,6,5
no,275.34,90,Haze,2915,15,4
no,297.62,75,Clouds,5914,15,5
no,290.76,90,Rain,4213,12,6
no,264.21,1,Clear,5393,14,1
no,279.02,90,Clouds,360,1,2
no,300.1,75,Clouds,4473,18,4
no,271.79,1,Mist,5340,6,5
no,272.55,90,Clouds,6181,7,5
no,285.02,90,Clouds,3654,18,6
no,251.84,1,Clear,586,0,3
no,291.77,75,Haze,5272,9,3
no,256.39,40,Haze,4994,14,3
no,291.16,5,Clear,2504,21,2
no,284.3,90,Mist,4922,14,1
no,292.19,75,Rain,1334,4,2
no,300.08,75,Clouds,4348,16,4
no,265.88,90,Snow,2611,11,6
no,286.51,5,Clear,5950,7,5
no,267.9,1,Clear,4342,17,6
no,290.86,90,Clouds,4931,13,4
no,295.94,1,Clear,4864,10,5
no,293.2,1,Clear,382,1,4
no,293.36,90,Rain,6305,17,4
no,256.53,1,Clear,6034,17,6
no,287.37,56,Mist,6419,17,4
no,295.22,40,Clouds,6096,17,1
no,293.121,64,Clouds,477,5,7
no,293.83,0,Clear,4880,10,2
no,292.75,40,Clouds,3203,19,1
no,298.08,90,Clouds,5997,17,4
no,258.51,40,Clouds,5709,8,2
no,295.01,90,Drizzle,5494,17,1
no,271.87,40,Clouds,2716,21,4
no,272.4,90,Snow,3572,19,6
no,293.02,1,Clear,6423,17,3
no,273.0,20,Clouds,2519,5,2
no,271.34,90,Fog,529,2,7
no,262.89,64,Clouds,3119,20,4
no,275.82,90,Clouds,4278,10,6
no,275.85,1,Clear,5764,6,2
no,275.76,90,Clouds,5088,9,5
no,295.92,90,Clouds,4407,11,6
no,289.99,1,Clear,4188,10,2
no,282.15,75,Clouds,3454,20,5
no,282.53,1,Clear,462,1,5
no,255.81,1,Clear,4180,22,2
no,271.74,40,Rain,3813,9,7
no,270.93,90,Snow,5707,8,4
no,283.35,92,Mist,5620,8,6
no,279.27,90,Clouds,4015,18,2
no,266.22,1,Clear,686,0,3
no,274.53,1,Clear,2903,22,5
no,289.771,44,Rain,1996,23,6
no,298.04,8,Clear,2559,19,1
no,291.51,0,Clear,643,1,2
no,288.26,68,Mist,2839,5,3
no,293.78,90,Clouds,4664,12,4
no,291.42,90,Clouds,3168,21,4
no,268.64,64,Snow,4534,13,4
no,295.36,40,Clouds,4692,11,1
no,286.44,1,Clear,5933,7,6
no,275.28,90,Clouds,4677,11,3
no,271.72,64,Clouds,3345,23,6
no,287.45,1,Clear,350,3,3
no,263.4,90,Mist,691,1,6
no,278.25,1,Clear,323,2,4
no,290.22,1,Clear,3406,9,4
no,289.67,92,Rain,444,0,4
no,281.75,90,Rain,5294,13,4
no,288.34,12,Clouds,541,4,5
no,284.09,90,Drizzle,1688,22,2
no,267.9,90,Clouds,661,5,7
no,294.69,1,Clear,4346,10,2
no,295.35,40,Clouds,1096,23,1
no,274.15,90,Mist,1352,22,3
no,286.52,90,Mist,1120,7,7
no,295.55,90,Rain,5126,11,1
no,272.95,90,Clouds,912,23,1
no,288.95,1,Clear,436,2,4
no,285.84,90,Clouds,2902,17,6
no,285.29,90,Drizzle,955,23,6
no,298.72,90,Thunderstorm,5125,13,5
no,276.8,90,Rain,240,4,7
no,270.09,90,Snow,4449,18,4
no,297.03,75,Clouds,4412,16,7
no,295.86,1,Rain,5680,14,4
no,277.36,80,Rain,5528,6,7
no,288.12,1,Clear,422,4,6
no,277.57,75,Clouds,394,3,5
no,295.3,40,Clouds,705,0,5
no,273.79,90,Mist,5155,13,6
no,299.15,90,Clouds,4671,16,7
no,270.65,90,Clouds,3721,14,1
no,281.22,90,Clouds,5418,14,4
no,277.21,1,Clear,4939,9,5
no,287.18,75,Mist,756,4,3
